fold,replicate,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,0,0.27429837,0.21868142,0.09549383,0.88286847,0.101669475,-530.1116
1,1,25,0.27840582,0.4783044,0.31302798,-0.9987844,0.06572553,-730.6328
1,1,50,0.26342866,0.6061739,0.42068416,-0.9490706,0.0364305,-816.54126
1,1,75,0.26222295,0.7191661,0.440642,-0.9380738,0.024381084,-854.88184
1,1,100,0.27288803,0.690828,0.40904638,-0.84923637,0.024391439,-854.0964
1,1,125,0.26192203,0.6231086,0.34477824,-0.916297,0.023720881,-867.5796
1,1,150,0.26139477,0.6530324,0.37728837,-0.90354806,0.022690196,-871.4545
1,1,175,0.25976464,0.6468985,0.35578558,-0.9272566,0.022973685,-867.5485
1,1,200,0.26049757,0.6387775,0.35981658,-0.91978675,0.022598129,-873.5019
1,1,225,0.27783388,0.5794671,0.40574595,-0.86824566,0.025169779,-830.903
1,1,250,0.27401683,0.4868069,0.39219478,-0.9744951,0.033779584,-827.3331
1,1,275,0.263687,0.5370374,0.35903904,-0.9578146,0.030825641,-854.34186
1,1,300,0.26017076,0.6124484,0.3405551,-0.93342775,0.024574885,-875.84784
1,1,325,0.2630222,0.543898,0.32895917,-0.92342585,0.025657777,-868.74005
1,1,350,0.26148552,0.60131145,0.32489157,-0.9221481,0.024245076,-884.39856
1,1,375,0.2601773,0.612078,0.33482006,-0.9216461,0.022835154,-882.72156
1,1,400,0.26236743,0.5753429,0.3497258,-0.93521196,0.025747007,-875.42175
1,1,425,0.25963092,0.62176055,0.32670537,-0.9261647,0.022430755,-886.1638
1,1,450,0.25683022,0.6104787,0.30626893,-0.913621,0.02297881,-881.6472
1,1,475,0.2515652,0.63324493,0.28508377,-0.9315846,0.02318884,-871.8432
1,1,500,0.26320836,0.62641186,0.33930388,-0.9056867,0.022593118,-888.1568
1,1,525,0.26201338,0.5939731,0.33250448,-0.9152599,0.022204127,-884.54694
1,1,550,0.26308775,0.61559165,0.32876357,-0.9139458,0.022823153,-889.6144
1,1,575,0.25829417,0.6393338,0.33330518,-0.92981106,0.022732148,-888.71094
1,1,600,0.26297852,0.63650596,0.35400468,-0.8885531,0.022179876,-879.97546
1,1,625,0.2572197,0.6283427,0.34331858,-0.926208,0.023076784,-884.48517
1,1,650,0.26198316,0.62566906,0.33562618,-0.92871165,0.022698702,-893.8883
1,1,675,0.26478362,0.59945494,0.3393338,-0.9221831,0.022099072,-888.2883
1,1,700,0.26150748,0.6061022,0.32876167,-0.9168375,0.022461412,-892.0072
1,1,725,0.2616015,0.5992915,0.34217456,-0.926238,0.02234764,-887.0644
1,1,750,0.2636079,0.6108692,0.338188,-0.91769785,0.024077164,-886.80194
1,1,775,0.25631323,0.6011441,0.34824616,-0.92959917,0.022001587,-890.0713
1,1,800,0.26435664,0.6125537,0.36519024,-0.9309608,0.022978345,-888.2547
1,1,825,0.2620335,0.60381395,0.32979465,-0.9233551,0.023076434,-890.1462
1,1,850,0.26157612,0.5713527,0.33453366,-0.9153065,0.024178287,-884.77075
1,1,875,0.26173007,0.61490756,0.3163064,-0.928625,0.02214583,-884.9542
