fold,replicate,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,0,0.2982696,0.09847453,0.07888248,-0.1883574,0.17146862,234.73587
1,1,25,0.11784912,0.12773024,0.042680122,-0.166527,0.14010498,-608.75757
1,1,50,0.11239059,0.3342587,0.1384865,0.9702201,0.061262596,-758.0049
1,1,75,0.10163791,0.2471746,0.29400718,0.9921259,0.036224153,-809.61304
1,1,100,0.064024955,0.16475299,0.10231505,0.5454433,0.030401217,-934.70685
1,1,125,0.063544445,0.19928248,0.11879427,0.39386845,0.024357235,-950.6045
1,1,150,0.062704645,0.20142911,0.120834686,0.39750713,0.025788017,-953.1671
1,1,175,0.061799657,0.19849358,0.12365586,0.39591166,0.025380975,-955.9966
1,1,200,0.061811954,0.19704646,0.12244537,0.38603267,0.025473367,-953.7416
1,1,225,0.060873695,0.19554205,0.122357294,0.3780816,0.025545415,-958.35425
1,1,250,0.05805161,0.1809042,0.123103924,0.3748491,0.025223946,-964.00165
1,1,275,0.25913078,1.4435093,0.014544182,0.41409135,0.42262504,-264.00134
1,1,300,0.26690245,1.9365594,0.009430269,0.36559328,0.5270298,-182.29747
1,1,325,0.23018329,1.9758252,0.009124958,0.36185086,0.33174336,-312.29987
1,1,350,0.2285653,1.9787856,0.009096608,0.36156926,0.22589721,-364.4097
1,1,375,0.22823408,1.9790069,0.009086448,0.36154765,0.21408865,-365.36526
1,1,400,0.22789308,1.9790231,0.009076761,0.36154568,0.21993512,-366.35373
1,1,425,0.22754838,1.9789424,0.009066602,0.36154088,0.21929781,-366.9802
1,1,450,0.2272257,1.978853,0.009055852,0.361536,0.2185713,-367.474
1,1,475,0.22707541,1.9788171,0.009044629,0.36153406,0.2184116,-363.96362
1,1,500,0.22664472,1.9788145,0.009037305,0.36153403,0.22014108,-365.4839
1,1,525,0.22655992,1.9788145,0.009030807,0.36153403,0.22188544,-363.2834
1,1,550,0.22621334,1.9788145,0.009023719,0.36153403,0.21873435,-369.24417
1,1,575,0.22597434,1.9788145,0.0090106055,0.36153403,0.21670598,-369.67053
1,1,600,0.22576688,1.9788145,0.008996546,0.36153403,0.21720545,-370.00653
1,1,625,0.22556607,1.9788145,0.008981897,0.36153403,0.21710682,-370.41998
1,1,650,0.22538531,1.9788145,0.008967247,0.36153403,0.2172255,-370.50333
1,1,675,0.22521219,1.9788145,0.008952715,0.36153403,0.21749264,-370.57767
1,1,700,0.22503829,1.9788145,0.0089379465,0.36153403,0.21738781,-365.48776
1,1,725,0.22486272,1.9788145,0.008922587,0.36153403,0.21681347,-371.71054
1,1,750,0.22472112,1.9786983,0.008906046,0.3615279,0.21649586,-371.9977
1,1,775,0.22453493,1.9785744,0.008889505,0.36152133,0.2167202,-372.15073
1,1,800,0.22440842,1.9785652,0.008871899,0.36152092,0.2157084,-372.58167
1,1,825,0.22424525,1.9784433,0.008853703,0.36151588,0.21576817,-372.7269
1,1,850,0.2241025,1.9784231,0.008834798,0.3615151,0.2153271,-373.03094
1,1,875,0.22396521,1.9784219,0.0088156555,0.3615151,0.21519434,-373.27158
1,1,900,0.22383718,1.9784218,0.008795922,0.36151496,0.21498899,-373.06253
1,1,925,0.22370142,1.9784218,0.008771461,0.36151496,0.21485122,-373.8243
1,1,950,0.22357717,1.9784218,0.008750546,0.36151496,0.21468627,-374.02036
1,1,975,0.22345152,1.9784218,0.008729629,0.36151496,0.21459144,-374.27396
1,1,1000,0.2233251,1.9784195,0.0087082395,0.3615104,0.21448274,-374.4785
1,1,1025,0.22322397,1.9784191,0.008686377,0.3615087,0.21432863,-371.7447
1,1,1050,0.22308978,1.9784191,0.008664041,0.36150867,0.21438587,-374.75336
1,1,1075,0.22300151,1.9784191,0.008641467,0.36150867,0.21408162,-375.20032
1,1,1100,0.22286732,1.9784191,0.008618422,0.3615088,0.21409085,-375.41046
1,1,1125,0.22276175,1.9784191,0.008594902,0.3615088,0.21390069,-375.3425
1,1,1150,0.22265881,1.9784191,0.008571146,0.361509,0.21409346,-374.276
1,2,0,0.3310635,0.06336632,0.09183768,-0.051906582,0.12083849,1120.7926
1,2,25,0.12237252,0.12761901,0.17824298,0.030389935,0.2081139,-504.06567
1,2,50,0.10094527,0.049070053,0.047586177,0.5131194,0.109287426,-680.91785
1,2,75,0.26670393,0.19732834,0.14548683,0.952583,0.07764189,851.1763
1,2,100,0.34627312,1.4922373,0.05141031,0.6191677,0.45165756,-182.01758
1,2,125,0.34696582,1.7295121,0.045353945,0.4951047,0.3717844,-208.1998
1,2,150,0.3429683,1.8543051,0.043711532,0.30454612,0.27496877,-240.58542
1,2,175,0.33659223,2.177469,0.04950648,-0.20661788,0.24540222,-257.92386
1,2,200,0.33046138,2.5514612,0.05270613,-0.58495367,0.22427112,-283.3381
1,2,225,0.32569778,2.8214664,0.053529304,-0.7106861,0.20236674,-294.95856
1,3,0,0.26681963,0.079897374,0.069460474,-0.13774952,0.092842236,1988.4022
1,3,25,0.13358298,0.19583023,0.23173623,0.5821764,0.20127474,-506.6795
1,3,50,0.10738428,0.118933246,0.110657394,0.7769077,0.13896985,-619.1755
1,3,75,0.10710979,0.13493434,0.1572148,0.9195276,0.08471925,-649.41235
1,3,100,0.3623058,1.510314,0.14582689,0.17384616,0.3064454,-207.03307
1,3,125,0.36935133,2.2557003,0.09954475,-0.49976274,0.4054442,-185.22462
1,3,150,0.36958545,2.2722375,0.099318966,-0.59271675,0.32148433,-187.08029
1,3,175,0.36921394,2.3033538,0.120717846,-0.6727021,0.31417716,-188.70953
1,3,200,0.36875492,2.341505,0.13744491,-0.76072454,0.3152218,-192.07233
1,3,225,0.3682495,2.3909028,0.15193744,-0.8371135,0.32019094,-195.2236
1,3,250,0.36772877,2.453637,0.16256842,-0.86538297,0.32296708,-198.01227
1,3,275,0.3671446,2.4978678,0.17030129,-0.8824809,0.31637743,-195.45195
