fold,replicate,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,0,0.29539663,0.2398037,0.25128722,-0.42886227,0.112527326,1232.7393
1,1,25,0.12501392,0.9434275,0.48995966,0.5295132,0.16220784,-461.05304
1,1,50,0.13323686,0.7854177,0.74501157,0.85742056,0.09803486,-561.65924
1,1,75,0.13077436,0.6732331,0.52713484,0.91469383,0.055084724,-673.1036
1,1,100,0.10939789,0.5006478,0.39307493,0.9095549,0.03732345,-752.14075
1,1,125,0.10183344,0.5240804,0.35132322,0.7410116,0.042570684,-766.2858
1,1,150,0.10223463,0.44881347,0.38786447,0.93285024,0.035034787,-770.0133
1,1,175,0.09833147,0.5582036,0.48044515,0.94148123,0.03616195,-787.8389
1,1,200,0.08838603,0.4174087,0.29332867,0.8972306,0.032751027,-796.75604
1,1,225,0.08397729,0.3565829,0.24581897,0.87636214,0.033062246,-810.4859
1,1,250,0.06447126,0.23387948,0.13762946,0.63520855,0.03126375,-904.5982
1,1,275,0.06226598,0.20135103,0.12617645,0.50170636,0.03813402,-862.64905
1,1,300,0.061855942,0.19248828,0.119210236,0.5598821,0.030411048,-919.56757
1,1,325,0.06069329,0.2152336,0.12791911,0.59870905,0.031165188,-912.2428
1,1,350,0.060100026,0.21346295,0.11298015,0.35456616,0.031168308,-922.2376
1,1,375,0.061918426,0.19617493,0.1178139,0.46275774,0.028814655,-931.81
1,1,400,0.059210125,0.16824736,0.11560751,0.41135192,0.029131265,-936.2808
1,1,425,0.059670914,0.17902952,0.11829596,0.480596,0.028761027,-937.4574
1,1,450,0.0590364,0.1697282,0.11112254,0.36743888,0.028272223,-954.8339
1,1,475,0.059540313,0.17881893,0.1118737,0.38455933,0.027830368,-954.77136
1,1,500,0.060921412,0.17390235,0.11658925,0.22356847,0.029300185,-900.30206
1,1,525,0.05950104,0.17834146,0.11412327,0.36031148,0.028408727,-957.18585
1,1,550,0.060020186,0.19088537,0.109652214,0.24920592,0.028247887,-945.9434
1,1,575,0.059553076,0.16982521,0.13118759,0.35816982,0.027347255,-928.3344
1,1,600,0.0605901,0.1733687,0.13703841,0.4854187,0.030096114,-944.2333
1,1,625,0.05909542,0.18214363,0.116950035,0.3103142,0.025805444,-955.9265
1,1,650,0.05966413,0.20561118,0.10551239,0.50384223,0.032660693,-952.56067
1,1,675,0.058834728,0.17641324,0.11451248,0.2968377,0.026076203,-954.3961
1,1,700,0.05923239,0.17164265,0.12392428,0.4109058,0.027586753,-957.71716
1,1,725,0.05931689,0.18320419,0.12964629,0.48944068,0.02879705,-950.85925
1,1,750,0.060543835,0.17799656,0.1266063,0.36450166,0.02659429,-954.7047
1,1,775,0.059162978,0.18445356,0.1314354,0.46337226,0.026690517,-950.89124
1,1,800,0.05925215,0.19400015,0.10799917,0.41680133,0.02831255,-946.9008
1,1,825,0.058718022,0.18427978,0.12323475,0.37936375,0.026547393,-957.07806
1,1,850,0.05863247,0.14364627,0.09889407,0.5313826,0.034339312,-938.54596
1,1,875,0.059520565,0.17486717,0.11495387,0.31965733,0.026759692,-950.8243
1,1,900,0.058382142,0.17689472,0.119320676,0.44188768,0.026449528,-961.37036
1,1,925,0.058175445,0.1747053,0.1195523,0.342159,0.02627107,-963.42096
1,1,950,0.058384195,0.17567083,0.11593473,0.3417231,0.027661085,-962.5962
1,1,975,0.060995184,0.16809836,0.116397366,0.6425605,0.03307516,-914.1695
1,1,1000,0.058535833,0.17136231,0.12962252,0.4085708,0.02655227,-957.3419
1,1,1025,0.058392007,0.17622112,0.122432224,0.38802478,0.026817953,-948.7777
1,1,1050,0.058257133,0.17666176,0.12004284,0.42701915,0.02626027,-961.9539
1,1,1075,0.05873922,0.18025583,0.11654618,0.39640996,0.02826133,-942.6985
1,1,1100,0.058400974,0.18825881,0.116355,0.4402753,0.02585226,-957.14465
1,1,1125,0.05829467,0.17432754,0.11548234,0.33142152,0.027155848,-959.2776
1,1,1150,0.058219925,0.17587203,0.119392574,0.38060308,0.0262079,-962.62445
1,1,1175,0.05852158,0.17493188,0.117694005,0.38236076,0.026299635,-960.8229
1,1,1200,0.05829959,0.17731774,0.113787785,0.4178673,0.026918452,-962.9545
1,1,1225,0.058470905,0.18517083,0.121030144,0.38381806,0.026125563,-962.10986
1,1,1250,0.06374246,0.18142131,0.12539513,0.42199105,0.026499333,-939.31165
1,1,1275,0.0587743,0.18410766,0.13284609,0.4745083,0.02774086,-958.1068
1,1,1300,0.058958244,0.1911381,0.12258169,0.43671432,0.02695013,-958.6483
1,1,1325,0.0582873,0.1841136,0.12590095,0.47810885,0.02691323,-951.4964
1,1,1350,0.058629707,0.17805181,0.11712433,0.39868098,0.026360013,-963.1218
1,1,1375,0.059068475,0.18949944,0.12310521,0.39758605,0.026993528,-941.2869
1,1,1400,0.058431923,0.1687588,0.11206184,0.40838048,0.02806859,-948.54126
1,1,1425,0.0589303,0.18890093,0.11756071,0.40873381,0.026281869,-941.8696
1,1,1450,0.058723837,0.17370091,0.116852544,0.32930478,0.0265626,-963.82764
1,1,1475,0.059281282,0.18195042,0.112159066,0.4377738,0.029027168,-957.98645
1,1,1500,0.0587528,0.18420814,0.12078442,0.4669397,0.026339693,-960.3228
1,1,1525,0.058522172,0.17507288,0.11710807,0.39640692,0.026588371,-964.1644
1,1,1550,0.05846092,0.17577484,0.11955456,0.37028614,0.025878513,-962.9389
1,1,1575,0.05867253,0.16157521,0.11353502,0.2918879,0.026716981,-964.12225
1,1,1600,0.058504958,0.17402022,0.12385664,0.45350525,0.02728485,-958.0366
1,1,1625,0.05899987,0.17991357,0.121155016,0.44495153,0.02622462,-960.9156
1,1,1650,0.060010362,0.19774021,0.12790662,0.46199682,0.025871659,-954.5807
1,1,1675,0.05873023,0.18041426,0.122645766,0.42498976,0.026258413,-950.5706
1,1,1700,0.058480132,0.1833192,0.12954772,0.42979053,0.025600262,-960.6726
1,1,1725,0.05870913,0.17491326,0.12012732,0.38368315,0.025803003,-963.9723
1,1,1750,0.058882624,0.18109143,0.118798286,0.42038947,0.025866432,-961.9489
1,1,1775,0.058988746,0.18312156,0.11408861,0.38911864,0.027021492,-955.8602
1,1,1800,0.059285868,0.17808987,0.11533545,0.4055646,0.026384046,-958.4877
1,1,1825,0.058891248,0.17278628,0.12231093,0.37067306,0.025658706,-964.5734
1,1,1850,0.05897055,0.17899315,0.11999545,0.42043728,0.025687056,-965.4548
1,1,1875,0.05926144,0.19837168,0.122876376,0.39876467,0.026624935,-940.3642
1,1,1900,0.059414238,0.1856513,0.114567734,0.39111456,0.026154479,-945.8054
1,1,1925,0.059153333,0.18317538,0.12082319,0.41668248,0.025435947,-958.2132
1,1,1950,0.058959477,0.17952746,0.11745414,0.41336328,0.025701696,-963.6311
1,1,1975,0.059153557,0.18301548,0.12183498,0.39858562,0.026195707,-963.1363
1,1,2000,0.0589157,0.18483283,0.119354896,0.41418287,0.025708202,-963.3179
1,2,0,0.29665402,0.19007108,0.2497056,-0.32174423,0.07819116,3528.3025
1,2,25,0.27966532,0.81384873,0.9399674,-0.33804283,0.21983072,-262.45084
1,2,50,0.19871126,0.88118947,1.0103669,-0.20118606,0.24524151,-343.60406
1,2,75,0.11505603,0.84878284,0.64868575,-0.18062548,0.19424133,-453.81183
1,2,100,0.11257142,0.73899233,0.4339263,0.059670467,0.12788068,-580.35156
1,2,125,0.11420168,0.55757886,0.40080896,0.3682227,0.08655059,-662.22534
1,2,150,0.10638365,0.35886595,0.3838111,0.67760414,0.07141919,-675.3505
1,2,175,0.118208,0.36189187,0.3844734,0.76637197,0.06720816,-674.1199
1,2,200,0.10211856,0.3004185,0.35885254,0.9057929,0.064711675,-685.5099
1,2,225,0.09966357,0.2109854,0.3109622,0.8859409,0.059536505,-747.61273
1,2,250,0.09358715,0.2005574,0.27720255,0.9024901,0.054107677,-745.2651
1,2,275,0.07929365,0.16092606,0.20514898,0.82480544,0.048122436,-810.12177
1,2,300,0.07503302,0.18847494,0.2001638,0.48891434,0.0436765,-816.84753
1,2,325,0.07660363,0.25038663,0.22168918,0.7025681,0.048556212,-759.6739
1,2,350,0.085066326,0.18743362,0.1757458,0.7433416,0.04956445,-836.53015
1,2,375,0.07382938,0.15315554,0.21680601,0.5310867,0.04991607,-842.6403
1,2,400,0.07228434,0.18444073,0.16297542,0.64481705,0.040558822,-862.73615
1,2,425,0.06806381,0.16019128,0.17195024,0.6460148,0.040983077,-870.77795
1,2,450,0.07091729,0.17867091,0.17242333,0.5890743,0.03851285,-889.8736
1,2,475,0.072966345,0.16697024,0.17400937,0.46478853,0.043575503,-830.8598
1,2,500,0.067764066,0.19901928,0.15787035,0.6130069,0.041072667,-827.042
1,2,525,0.06699479,0.21868974,0.18409772,0.68771446,0.035713565,-881.5433
1,2,550,0.06946648,0.32746556,0.15996422,0.81775653,0.04609964,-843.6537
