fold,replicate,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,0,0.35526702,0.10507846,0.11036098,-0.029587982,0.10786722,1131.1704
1,1,25,0.1543081,0.130633,0.13383555,-0.1725306,0.1306262,-428.5736
1,1,50,0.11303295,0.14432602,0.12975231,-0.04261041,0.13573055,-609.08014
1,1,75,0.12066127,0.14711821,0.11697007,0.058110744,0.13250995,-627.6289
1,1,100,0.11449361,0.14608228,0.10180999,0.14391011,0.1275569,-637.9177
1,1,125,0.11020154,0.14413024,0.089965664,0.22767515,0.12212637,-654.2317
1,1,150,0.10593638,0.14175808,0.083624706,0.32614538,0.11643448,-668.9961
1,1,175,0.0988054,0.13857815,0.07804276,0.41726,0.11056614,-687.27026
1,1,200,0.09032108,0.13436754,0.07205897,0.4896963,0.104457326,-712.7633
1,1,225,0.080637895,0.1289243,0.06589619,0.54609853,0.09797552,-741.7033
1,1,250,0.07161577,0.12171334,0.05817787,0.5796469,0.091109015,-774.1135
1,1,275,0.06683653,0.1134927,0.05091999,0.59927213,0.08403897,-803.59595
1,1,300,0.065280996,0.105355196,0.04554623,0.6160889,0.07722187,-825.9702
1,1,325,0.06468884,0.09864833,0.042949323,0.63928497,0.071065836,-844.54236
1,1,350,0.06424727,0.09399869,0.043056548,0.67291397,0.065708674,-859.8847
1,1,375,0.06388719,0.09125908,0.04532934,0.7104198,0.06113454,-872.53827
1,1,400,0.06346354,0.09070681,0.051520254,0.7507921,0.057240088,-883.908
1,1,425,0.06299603,0.09264982,0.06340134,0.79154086,0.053869363,-894.063
1,1,450,0.062580965,0.09588538,0.07733299,0.82377386,0.050861645,-903.12305
1,1,475,0.062278535,0.100544505,0.0865471,0.8461993,0.048136637,-910.45514
1,1,500,0.062112764,0.10598886,0.08725506,0.85651344,0.04572014,-917.73267
1,1,525,0.06257527,0.11348035,0.087156735,0.8617766,0.043624118,-921.9767
1,1,550,0.06209619,0.1218496,0.08784046,0.85823894,0.04183173,-926.5764
1,1,575,0.061923753,0.13051666,0.08792038,0.8375557,0.04026287,-931.26086
1,1,600,0.06105568,0.1384099,0.09110053,0.7984711,0.03884819,-936.4055
1,1,625,0.05939422,0.14244963,0.094945244,0.723702,0.037431624,-942.97205
1,1,650,0.05902513,0.14517315,0.098362066,0.6185651,0.03602512,-945.93463
1,1,675,0.05910172,0.14961547,0.10265883,0.53679043,0.034698278,-948.9502
1,1,700,0.05903111,0.15402557,0.10351747,0.5073752,0.0335109,-952.7565
1,1,725,0.058956854,0.15774263,0.10535573,0.48792475,0.032442257,-952.8103
1,1,750,0.059020344,0.160593,0.10670549,0.4588443,0.031487178,-955.3561
1,1,775,0.058850806,0.16250448,0.10787161,0.45084777,0.03069594,-958.001
1,1,800,0.05881856,0.16478644,0.109788194,0.4398145,0.029994661,-957.276
1,1,825,0.058703836,0.16663241,0.11080647,0.4223354,0.02940518,-958.68536
1,1,850,0.05872027,0.16837305,0.113902114,0.4169968,0.028911363,-960.93585
1,1,875,0.05879526,0.16894446,0.112758555,0.41364357,0.028495742,-960.0154
1,1,900,0.058401693,0.17016526,0.11333912,0.42110243,0.028109621,-960.1857
1,1,925,0.058349967,0.17115735,0.115835436,0.41685417,0.027776338,-959.17786
1,1,950,0.058219787,0.1730659,0.116778314,0.41138104,0.027511489,-961.675
1,1,975,0.05822992,0.17362563,0.11664476,0.4049873,0.027235316,-962.876
1,1,1000,0.057947412,0.17445831,0.1195168,0.39947906,0.026997821,-961.6187
1,1,1025,0.057978902,0.17576079,0.12045505,0.40236774,0.02688004,-961.80963
1,1,1050,0.057917442,0.17599146,0.11876928,0.40693033,0.026753772,-963.1758
1,1,1075,0.057882182,0.1755835,0.11855077,0.40294352,0.02662656,-963.0289
1,1,1100,0.058217086,0.17605524,0.11967164,0.39412728,0.026544375,-960.4442
1,1,1125,0.057922743,0.17607583,0.119523354,0.39736375,0.026498055,-960.62036
1,1,1150,0.057923086,0.17748792,0.11851784,0.38883862,0.026388574,-961.04333
1,1,1175,0.057755325,0.17700367,0.119692266,0.39403194,0.026285933,-961.503
1,1,1200,0.058123928,0.1780354,0.121512145,0.39411288,0.026160287,-961.12396
1,1,1225,0.05774252,0.17890948,0.12311151,0.39568466,0.026050072,-962.9118
1,1,1250,0.058336016,0.17887618,0.122602925,0.3883103,0.025993858,-959.9388
1,1,1275,0.05776017,0.17918585,0.121458724,0.3952801,0.025993276,-960.5333
1,1,1300,0.05796712,0.17904085,0.12317696,0.37582144,0.025977943,-958.8507
