fold,replicate,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,0,0.27475315,0.10924062,0.07726568,-0.029165413,0.14583607,480.9056
1,1,25,0.11226528,0.15145418,0.04671566,0.22081392,0.152966,-588.10187
1,1,50,0.10460472,0.18487844,0.12602203,0.91176814,0.06726757,-765.4306
1,1,75,0.066252,0.19064511,0.05452385,0.990945,0.035255075,-779.4105
1,1,100,0.06429596,0.1674654,0.06666576,0.9798852,0.038196214,-921.1992
1,1,125,0.06238541,0.19067043,0.10201401,0.2302509,0.03221177,-947.0055
1,1,150,0.062006813,0.19969584,0.12343757,0.45686877,0.024190854,-955.7277
1,1,175,0.061909582,0.19824547,0.120965146,0.39070305,0.0255238,-957.3706
1,1,200,0.061796516,0.19861087,0.121920615,0.40153444,0.025253007,-956.77637
1,1,225,0.061659303,0.19754478,0.12156461,0.40362108,0.025268698,-957.70374
1,1,250,0.059846297,0.19182733,0.12204534,0.40276378,0.025157804,-961.8085
1,1,275,0.057635352,0.1859395,0.122183554,0.38121274,0.024920166,-966.18713
1,1,300,0.058050778,0.1843351,0.122113496,0.38237223,0.024986789,-966.85004
1,1,325,0.057915773,0.18428503,0.12204049,0.37386745,0.02496772,-966.5908
1,1,350,0.058026217,0.18399557,0.121852234,0.38206667,0.024990162,-966.83154
1,1,375,0.058268767,0.18436226,0.12170173,0.37574306,0.024914352,-966.4267
1,1,400,0.05829789,0.18296333,0.122364886,0.37302992,0.02492412,-966.64075
1,1,425,0.057981897,0.18019204,0.12177899,0.36433008,0.02491505,-968.56384
1,1,450,0.058058657,0.1844836,0.12171228,0.37487394,0.024948653,-966.99097
1,1,475,0.057965014,0.18135653,0.12215929,0.3670089,0.024877144,-966.9189
1,1,500,0.058394246,0.17618088,0.12181688,0.35981825,0.024923073,-968.2107
1,1,525,0.05824551,0.18343677,0.12244347,0.37570322,0.024939816,-968.0444
1,1,550,0.058521703,0.18278958,0.123008214,0.36137447,0.024896678,-965.497
1,1,575,0.058079276,0.18201886,0.122331135,0.36249152,0.02489098,-967.9403
1,1,600,0.058526848,0.1799951,0.12188864,0.37408608,0.024894586,-968.18
1,1,625,0.058465693,0.18144095,0.1236428,0.36830223,0.024902724,-967.90985
1,1,650,0.058489244,0.18225881,0.12226077,0.36547992,0.024914352,-965.4466
1,1,675,0.058324702,0.18007615,0.12262064,0.36951882,0.024911096,-968.61725
1,1,700,0.058201693,0.1802913,0.12261748,0.36595127,0.024846096,-969.0835
1,1,725,0.05909426,0.17919093,0.12229812,0.359469,0.024874352,-967.3686
1,1,750,0.058386024,0.18466875,0.12248587,0.37497914,0.024904935,-968.9339
1,1,775,0.058362916,0.17920648,0.12291882,0.37396076,0.024823304,-968.81824
1,1,800,0.058344446,0.18097183,0.12237153,0.3770165,0.024926096,-968.00446
1,1,825,0.05830315,0.17814673,0.12341829,0.3717237,0.024850747,-969.3785
1,1,850,0.058267318,0.17904533,0.123456635,0.37741235,0.024879469,-968.91437
1,1,875,0.05882833,0.17720269,0.122154646,0.3647877,0.024864236,-968.27234
1,1,900,0.05869293,0.19033583,0.122139245,0.3703546,0.024939816,-965.62964
1,1,925,0.058574963,0.18235825,0.12284576,0.37251496,0.02488412,-969.1493
1,1,950,0.05850481,0.1801122,0.12300526,0.37256256,0.024854701,-969.44196
1,1,975,0.058416598,0.18229835,0.122324176,0.3705681,0.02485284,-968.9375
1,1,1000,0.058631808,0.17930862,0.121825635,0.37304837,0.024876561,-968.8252
1,1,1025,0.058519647,0.1800199,0.122765206,0.37446687,0.02480249,-969.9033
1,1,1050,0.058464736,0.18713617,0.12244969,0.39018977,0.02487912,-969.50934
1,1,1075,0.058807723,0.19621651,0.12214473,0.35105175,0.024976209,-968.8551
1,1,1100,0.05881992,0.18462683,0.12296215,0.376115,0.024932723,-966.2169
1,1,1125,0.058616683,0.17729594,0.12130236,0.37126225,0.024878887,-969.71576
1,1,1150,0.05859533,0.17974694,0.12254767,0.37364462,0.024845514,-969.08527
1,1,1175,0.058568917,0.17967443,0.12301686,0.3708834,0.024855515,-969.629
