fold,replicate,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,0,0.25169125,0.08877584,0.1357934,-0.13190317,0.12670353,935.6404
1,1,25,0.11317896,0.26629445,0.30521786,-0.057489797,0.17321558,-75.50732
1,1,50,0.10557115,0.24037139,0.25917533,0.0006593912,0.07977916,-176.49908
1,1,75,0.10052528,0.24974105,0.27932256,0.50823176,0.05781677,-225.82704
1,1,100,0.10271375,0.27617455,0.24896802,0.6472971,0.050223235,-245.32907
1,1,125,0.07123087,0.27287188,0.19158217,0.6564519,0.046695635,-256.9394
1,1,150,0.065319575,0.24367405,0.1450917,0.64681137,0.041659772,-250.70009
1,1,175,0.067284964,0.21618946,0.1267864,0.48129433,0.03734596,-292.01675
1,1,200,0.066264436,0.19216743,0.114947245,0.43986115,0.03523298,-258.5925
1,1,225,0.065030955,0.19587444,0.108572654,0.3672083,0.041539703,-271.30902
1,1,250,0.06498883,0.18111308,0.11759451,0.462322,0.038799573,-264.47766
1,1,275,0.06404972,0.18408057,0.11715808,0.37296927,0.031951785,-300.13248
1,1,300,0.06401298,0.19251196,0.11402646,0.58348906,0.03944394,-283.81714
1,1,325,0.06810743,0.18993632,0.120164804,0.38441518,0.03401271,-295.373
1,1,350,0.06209252,0.17629352,0.13233712,0.37016824,0.032135118,-255.46678
1,1,375,0.06327279,0.17237434,0.11008616,0.42598575,0.035502583,-278.8374
1,1,400,0.06214432,0.18141301,0.10788027,0.39171717,0.039634842,-282.8048
1,1,425,0.061628275,0.19214639,0.12109358,0.27674282,0.0310353,-306.21484
1,1,450,0.060426116,0.19486722,0.13753106,0.34841374,0.02765262,-298.41418
1,1,475,0.05824182,0.16096014,0.13242318,0.40769845,0.031954903,-292.0179
1,1,500,0.058447056,0.17630702,0.12728027,0.3675563,0.032384206,-280.93564
1,1,525,0.0605701,0.1822168,0.1310681,0.3565032,0.03064854,-305.0802
1,1,550,0.061482906,0.17279235,0.13416043,0.3457855,0.031532228,-305.9806
1,1,575,0.058113996,0.16899218,0.12773737,0.48241517,0.03381543,-286.73834
1,1,600,0.058677666,0.17642334,0.12501608,0.39596412,0.026672874,-299.70615
1,1,625,0.060836498,0.17959853,0.1300131,0.43540546,0.035094067,-295.3617
1,1,650,0.058057837,0.18176533,0.12368272,0.22310667,0.031627055,-307.1287
1,1,675,0.05992271,0.1773159,0.12479355,0.43583414,0.03167695,-306.0315
1,1,700,0.058622286,0.16423197,0.106415614,0.40191904,0.032355122,-299.16852
1,1,725,0.05829589,0.18200605,0.1279156,0.36531034,0.029124202,-300.32285
1,1,750,0.058178548,0.17799638,0.11698396,0.363395,0.035813976,-245.52893
1,1,775,0.058314435,0.14988159,0.12120626,0.3217135,0.033872586,-296.17334
1,1,800,0.058355458,0.18490252,0.12383145,0.31965256,0.033351917,-289.98132
1,1,825,0.05874131,0.1788357,0.11782087,0.36142763,0.031359527,-281.07175
1,1,850,0.05899162,0.17930195,0.12328962,0.4048769,0.030594086,-305.04535
1,1,875,0.058200635,0.17217948,0.14273813,0.3005683,0.029826786,-295.4575
1,1,900,0.057586737,0.18648663,0.12212827,0.339399,0.036562793,-278.92816
1,1,925,0.057784263,0.1811637,0.12945512,0.4901625,0.029926866,-300.89532
1,1,950,0.058420558,0.18832667,0.12115019,0.380673,0.029690359,-284.8477
1,1,975,0.058798,0.16878961,0.123555675,0.45401087,0.030815123,-295.84674
1,1,1000,0.05796681,0.17638727,0.12865736,0.37558675,0.03182073,-291.77817
1,1,1025,0.05922608,0.1801118,0.114391856,0.37681058,0.030948507,-297.78796
1,1,1050,0.058524463,0.18255532,0.144589,0.28412798,0.030943422,-299.3316
1,1,1075,0.05923452,0.17244226,0.122125104,0.36386096,0.031535,-305.06512
1,1,1100,0.059712775,0.1837,0.13800281,0.35159272,0.028233632,-310.61267
1,1,1125,0.058355186,0.16519046,0.117361635,0.39757845,0.03391995,-288.39752
1,1,1150,0.05972204,0.16868709,0.11134017,0.4398036,0.034135412,-297.3839
1,1,1175,0.058044657,0.17457475,0.12395541,0.43841892,0.03059501,-306.045
1,1,1200,0.05820554,0.16063645,0.118658125,0.42967367,0.03205073,-300.02277
1,1,1225,0.0578177,0.18768463,0.13232188,0.3207214,0.026648384,-313.68277
1,1,1250,0.058114313,0.1909685,0.14098944,0.34927666,0.028440244,-303.29413
1,1,1275,0.059609216,0.16549197,0.116463766,0.33095726,0.03365603,-300.53287
1,1,1300,0.05756277,0.19104098,0.12262043,0.43044835,0.03191091,-293.8876
1,1,1325,0.05880837,0.1825141,0.13975331,0.3061292,0.029131614,-294.2998
1,1,1350,0.05895347,0.1756901,0.12709194,0.29491,0.028743653,-290.55438
1,1,1375,0.058379203,0.17656034,0.13885355,0.3799432,0.029959839,-295.43558
1,1,1400,0.058307096,0.18199143,0.12996495,0.16495687,0.035162088,-286.81796
1,1,1425,0.058183894,0.16909194,0.118466265,0.42972165,0.031096432,-302.60828
1,1,1450,0.058469824,0.18270797,0.13630697,0.3354515,0.03220715,-292.54135
1,1,1475,0.058242723,0.17227662,0.13341002,0.44350553,0.031667363,-297.87033
1,1,1500,0.05972673,0.18263716,0.11286303,0.37438828,0.029741507,-307.6182
1,1,1525,0.05805882,0.17634259,0.13341138,0.25982618,0.028805157,-307.85938
1,1,1550,0.05772736,0.1600363,0.12080627,0.23386455,0.030924004,-297.44345
1,1,1575,0.05971965,0.17896679,0.120681494,0.31266075,0.032641653,-280.18088
1,1,1600,0.058848295,0.18403386,0.12719439,0.30376324,0.029470462,-303.24448
1,1,1625,0.05850932,0.18751515,0.14012726,0.25967148,0.029566761,-286.4796
1,1,1650,0.06006391,0.17623276,0.13050412,0.48535293,0.030909672,-299.33173
1,1,1675,0.061515257,0.18551676,0.10870344,0.59627765,0.032883346,-299.52103
1,1,1700,0.06017666,0.17259525,0.10935048,0.28598142,0.03448317,-285.14243
1,1,1725,0.057442214,0.19683118,0.15122189,0.30542168,0.029052528,-292.66214
1,1,1750,0.05731363,0.19711947,0.1258856,0.16860647,0.030048108,-276.49832
1,1,1775,0.05799086,0.1758222,0.13150476,0.21972324,0.03049176,-275.62216
1,1,1800,0.057710484,0.1867714,0.12363047,0.39857906,0.029675083,-303.2439
1,1,1825,0.058200065,0.18413104,0.14019792,0.251582,0.028117387,-296.42657
1,1,1850,0.057752714,0.17346698,0.12693876,0.2593178,0.028416375,-301.97952
1,1,1875,0.05794141,0.17826733,0.13025372,0.4180434,0.029632729,-283.49463
1,1,1900,0.058853086,0.18970098,0.13322233,0.27778846,0.028060129,-306.99612
1,1,1925,0.0581648,0.17797573,0.13003215,0.2904928,0.030042555,-298.8711
1,1,1950,0.05846505,0.17734985,0.13585147,0.37859,0.0312842,-297.45102
1,1,1975,0.057665166,0.1724833,0.13187678,0.31326416,0.030661372,-302.291
1,1,2000,0.057731207,0.16651212,0.12317,0.40437865,0.030715823,-293.70523
1,2,0,0.33753034,0.08391643,0.13509046,0.08194642,0.1164019,1322.4797
1,2,25,0.12240801,0.24325044,0.31586123,-0.062477317,0.21912405,-47.525997
1,2,50,0.10770237,0.22450018,0.26506525,-0.03167961,0.12143708,-155.9197
1,2,75,0.111404195,0.20716478,0.27103132,0.17333522,0.069937006,-196.61606
1,2,100,0.09213668,0.20449172,0.29000962,0.3296016,0.052255597,-243.51912
1,2,125,0.080114685,0.18749875,0.24217628,0.32733154,0.042981982,-269.54065
1,2,150,0.07586385,0.18127409,0.19965054,0.4362701,0.038645096,-286.9552
1,2,175,0.078186154,0.18367092,0.17603864,0.4330635,0.03731863,-287.40488
1,2,200,0.079921015,0.18873964,0.1790857,0.3997258,0.03318403,-280.98468
1,2,225,0.08534979,0.19149822,0.14975475,0.40668792,0.03288127,-289.96442
1,2,250,0.08207042,0.18562122,0.14544973,0.34970787,0.03446958,-286.2402
1,2,275,0.0803568,0.17845084,0.15317988,0.40055493,0.031397074,-285.06973
1,2,300,0.08439285,0.18711334,0.14998184,0.44370568,0.03276695,-292.06934
1,2,325,0.08212284,0.18682273,0.15235108,0.33443707,0.03227687,-289.0628
1,2,350,0.09208302,0.17351338,0.13672057,0.3230854,0.030505866,-275.02374
1,2,375,0.08497116,0.17519356,0.14961402,0.42948228,0.030673396,-293.19357
1,2,400,0.08414918,0.1824702,0.14771393,0.32823566,0.029593032,-298.81503
1,2,425,0.09115732,0.18152913,0.14119224,0.35076472,0.02973387,-302.1776
1,2,450,0.088888355,0.17087272,0.13515295,0.24205261,0.03070438,-296.48785
1,2,475,0.089292236,0.17270277,0.13583201,0.3225124,0.029134508,-290.21573
1,2,500,0.08566272,0.16901544,0.12945816,0.41633442,0.032238893,-284.86975
1,2,525,0.09205851,0.15671287,0.12435741,0.47095028,0.034648538,-282.32645
1,2,550,0.080241084,0.1723057,0.13206849,0.27466518,0.029856868,-285.9016
