fold,replicate,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,0,0.2864588,0.14256883,0.10216535,0.0046092467,0.13098663,901.76886
1,1,25,0.11486516,0.28528732,0.2602737,-0.042190164,0.18105121,-72.96717
1,1,50,0.10856582,0.251048,0.21961656,0.15669754,0.07931534,-189.20839
1,1,75,0.07452722,0.25719565,0.22790135,0.51336384,0.04870292,-251.62837
1,1,100,0.067400455,0.20398887,0.19746456,0.51565397,0.04558507,-271.96234
1,1,125,0.06657927,0.17973888,0.14821781,0.46649814,0.035577018,-297.51645
1,1,150,0.06319701,0.16000095,0.11932669,0.51515234,0.04179309,-291.59863
1,1,175,0.0640882,0.18783836,0.11524092,0.5038736,0.03133654,-303.03812
1,1,200,0.064699054,0.19331071,0.115918346,0.4391206,0.029843332,-303.78906
1,1,225,0.061505582,0.18914782,0.11132247,0.37786266,0.029672652,-308.6551
1,1,250,0.06185451,0.19450673,0.1174351,0.35198295,0.027240999,-303.70282
1,1,275,0.063227914,0.19397646,0.11664147,0.4051751,0.030463893,-267.68246
1,1,300,0.061348267,0.18530354,0.11102402,0.44513872,0.032913685,-298.80545
1,1,325,0.061309017,0.19006932,0.11233461,0.39173886,0.02884778,-308.0868
1,1,350,0.06134603,0.19812736,0.11904808,0.3756666,0.027718944,-306.64542
1,1,375,0.061339572,0.18458788,0.12036289,0.4056402,0.028780138,-307.54327
1,1,400,0.06294065,0.19558725,0.11748407,0.41464332,0.027088556,-299.79092
1,1,425,0.061322443,0.1935066,0.11786897,0.358842,0.028550543,-300.89755
1,1,450,0.061433434,0.19582063,0.117634885,0.37051547,0.02731988,-310.29413
1,1,475,0.061230317,0.19626431,0.122259825,0.34727815,0.026671134,-309.4367
1,1,500,0.061833333,0.19201347,0.123365074,0.2968321,0.02731988,-305.52576
1,1,525,0.061210215,0.18891454,0.12080331,0.3638224,0.028868048,-298.08417
1,1,550,0.06406312,0.18403535,0.11738718,0.39054888,0.029644763,-300.07086
1,1,575,0.061512895,0.19340816,0.11882613,0.39424056,0.027964382,-307.81787
1,1,600,0.06101576,0.19988912,0.11836821,0.35997272,0.02728311,-305.86066
1,1,625,0.06106739,0.18025646,0.120421655,0.4840595,0.029213008,-306.46838
1,1,650,0.060880095,0.19230524,0.12561491,0.42570853,0.027045162,-309.1561
1,1,675,0.06102276,0.18655044,0.12114966,0.35196248,0.02870786,-301.7571
1,1,700,0.061906416,0.19557087,0.11698523,0.40304673,0.027863525,-305.35614
1,1,725,0.061601013,0.1895926,0.110385425,0.39653426,0.032314032,-305.1705
1,1,750,0.061412863,0.19899304,0.11844403,0.3943104,0.026380679,-309.15997
1,1,775,0.062177967,0.19212878,0.120220095,0.39718983,0.029722644,-307.10568
1,1,800,0.061377723,0.19341347,0.113693275,0.37965947,0.02939071,-306.50256
1,1,825,0.061621208,0.19435313,0.12077151,0.31235132,0.025777444,-308.4007
1,1,850,0.061360087,0.19620867,0.1275208,0.3643449,0.02798629,-268.49667
1,1,875,0.06111572,0.18475458,0.11515178,0.34970835,0.028116576,-301.7058
1,1,900,0.06057112,0.19258188,0.12505226,0.41373426,0.027278122,-309.25916
1,1,925,0.060469974,0.20647624,0.12471442,0.25685105,0.026173525,-311.30392
