fold,replicate,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,0,0.3096674,0.09315529,0.10697447,-0.17715913,0.11241369,601.3464
1,1,25,0.112381734,0.31461468,0.32165003,0.23402701,0.23201719,15.243901
1,1,50,0.106286414,0.24974927,0.23278002,0.20748064,0.08753095,-165.54967
1,1,75,0.11715027,0.27196783,0.24786179,0.3899658,0.060113158,-184.03703
1,1,100,0.10103598,0.27775997,0.27713853,0.6408565,0.04887694,-220.07518
1,1,125,0.08391781,0.290242,0.23802215,0.6947487,0.036879327,-239.3666
1,1,150,0.066261746,0.23035459,0.15206152,0.51410586,0.035363995,-236.98026
1,1,175,0.06488902,0.19132891,0.119336106,0.45354015,0.03437123,-288.1546
1,1,200,0.06465219,0.19393459,0.12890442,0.4304554,0.029759731,-283.76987
1,1,225,0.064926535,0.19232857,0.11641943,0.43649134,0.037553385,-251.09045
1,1,250,0.06303851,0.18854836,0.12118171,0.4192206,0.03278828,-291.2895
1,1,275,0.06450669,0.20125866,0.12925793,0.37953067,0.026994321,-294.6141
1,1,300,0.06253862,0.1934816,0.12014307,0.36029652,0.031627834,-290.16556
1,1,325,0.06232562,0.19630983,0.121304855,0.39790824,0.030721579,-294.0831
1,1,350,0.062213197,0.19954316,0.123831406,0.3298761,0.028133886,-293.91998
1,1,375,0.06238235,0.19594046,0.121054254,0.31869766,0.028220696,-291.90137
1,1,400,0.062311146,0.2005916,0.13078071,0.35949174,0.031535048,-290.18826
1,1,425,0.06291723,0.19200313,0.12681822,0.42453372,0.029279007,-293.2175
1,1,450,0.062453948,0.20245624,0.117110275,0.3683267,0.02915879,-297.10593
1,1,475,0.063043185,0.18905678,0.11976973,0.3807357,0.029545499,-294.92142
1,1,500,0.064987496,0.21003847,0.12925035,0.33126974,0.030965498,-290.4991
1,1,525,0.06393593,0.19509405,0.121531345,0.37314165,0.029430002,-286.64117
1,1,550,0.06264864,0.18719111,0.12034335,0.34893385,0.028445879,-298.29892
1,1,575,0.063068785,0.19177914,0.12195437,0.38530555,0.028119931,-294.29437
1,1,600,0.06253211,0.20527852,0.12127822,0.3730137,0.027420983,-298.1881
1,1,625,0.0622514,0.18354951,0.11506933,0.3697328,0.030504778,-294.67358
1,1,650,0.062171735,0.19423112,0.118288524,0.39378113,0.02760602,-296.41116
1,1,675,0.061771955,0.19556944,0.123530336,0.3157711,0.028669741,-295.24658
1,1,700,0.062231664,0.2004832,0.12690312,0.33146775,0.026969908,-284.9565
1,1,725,0.062141843,0.19726214,0.12065043,0.30486313,0.028361116,-298.27704
1,1,750,0.06507361,0.1809549,0.11460413,0.3502708,0.038341265,-277.51514
1,1,775,0.06305198,0.19369794,0.12744483,0.39439905,0.027931264,-290.0057
1,1,800,0.06311226,0.19698687,0.12396797,0.38082954,0.027448017,-299.82544
1,1,825,0.061690073,0.19588362,0.12192181,0.31900337,0.028716143,-295.32413
1,1,850,0.06432692,0.19743273,0.12639979,0.35467055,0.0284712,-291.939
1,1,875,0.062194534,0.19747552,0.13073961,0.3430287,0.03173115,-275.0566
1,1,900,0.06159328,0.18355519,0.12892455,0.47262275,0.031626943,-284.9335
1,1,925,0.06557701,0.1943377,0.1138554,0.28625837,0.03339548,-291.5882
1,1,950,0.06281155,0.19888598,0.12575835,0.36706328,0.026748672,-295.2922
