outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,1,0,0.57852817,0.102286756,0.0938168,0.024635531,0.09929025,0.123040676,2901.0886
1,1,25,0.19026732,0.120979406,0.11126456,-0.15030086,0.11530996,0.143605,-384.56332
1,1,50,0.20945577,0.12756498,0.11717441,-0.20052849,0.11327345,0.14477354,-405.51215
1,1,75,0.21181014,0.13025947,0.11987437,-0.22089945,0.10679602,0.14136736,-542.0093
1,1,100,0.2054837,0.13209283,0.1219833,-0.23570396,0.09980058,0.1381568,-574.27954
1,1,125,0.2045476,0.13419566,0.12476946,-0.25329974,0.09320524,0.13636939,-574.24054
1,1,150,0.19565144,0.13574512,0.12793407,-0.26888284,0.08718623,0.13563448,-575.721
1,1,175,0.18634099,0.1376528,0.13168338,-0.28669494,0.08160321,0.13520627,-603.8674
1,1,200,0.17822064,0.13894111,0.13519013,-0.30261242,0.076061085,0.134741,-608.4196
1,1,225,0.17375232,0.1401542,0.1391099,-0.3185713,0.07059451,0.13272387,-638.0706
1,1,250,0.16978247,0.14079851,0.1425617,-0.33323494,0.06555651,0.13058259,-669.67834
1,1,275,0.1699232,0.14161737,0.14623143,-0.34923428,0.06115046,0.12966488,-658.3314
1,1,300,0.17009732,0.14181508,0.14969707,-0.36353087,0.057842083,0.13199922,-653.5396
1,1,325,0.17340046,0.14167956,0.15278797,-0.3761498,0.05508901,0.136034,-659.0417
1,1,350,0.17050712,0.14195059,0.1564709,-0.39007613,0.052523814,0.1389962,-658.8837
1,1,375,0.17106561,0.14218287,0.16021486,-0.4039777,0.050230153,0.14266051,-683.77234
1,1,400,0.17202619,0.14282547,0.16326903,-0.41582003,0.04796542,0.14571232,-674.45276
1,1,425,0.16996054,0.14374717,0.1668202,-0.427327,0.04592955,0.14822933,-674.8146
1,1,450,0.17288215,0.14457704,0.17070037,-0.43796054,0.04428557,0.15085033,-676.82556
1,1,475,0.16931906,0.1458643,0.17554969,-0.44683802,0.042797428,0.15229098,-686.2537
1,1,500,0.17095083,0.14774416,0.18076281,-0.45435873,0.041479547,0.15328471,-681.56396
1,1,525,0.16790962,0.1502933,0.18617752,-0.45715204,0.040250618,0.15422912,-660.3899
1,1,550,0.17114213,0.15268125,0.19334117,-0.45634842,0.03941185,0.15503727,-682.86816
1,1,575,0.16477294,0.15529674,0.20115678,-0.454186,0.038714368,0.1547571,-669.3521
1,1,600,0.16705546,0.15770873,0.20956491,-0.44677815,0.038414083,0.15580499,-686.42523
1,1,625,0.1667375,0.15984724,0.2176015,-0.43765184,0.03768973,0.15210527,-678.08484
1,1,650,0.16788606,0.16197236,0.22522411,-0.4253893,0.037206303,0.15029442,-677.82166
1,1,675,0.16561265,0.16442728,0.23259741,-0.40843087,0.03658934,0.14716575,-692.04
1,1,700,0.16487946,0.16644935,0.24027333,-0.38993543,0.03606468,0.14536077,-699.1704
1,1,725,0.17134143,0.1681917,0.24844791,-0.36734626,0.03534173,0.14050178,-686.0867
1,1,750,0.16412888,0.16987823,0.25653222,-0.34260648,0.035024315,0.14042367,-706.1171
1,1,775,0.1704448,0.17113535,0.2657636,-0.31795216,0.034675136,0.13978048,-710.2403
1,1,800,0.17626446,0.17239922,0.27473396,-0.2883944,0.033989087,0.13548978,-711.59045
1,1,825,0.16568485,0.17400986,0.2827959,-0.25310305,0.033191063,0.1285341,-697.5614
1,1,850,0.16399226,0.17503677,0.2898512,-0.21965997,0.03306328,0.12697247,-700.7117
1,1,875,0.16308244,0.17599316,0.2971528,-0.18980785,0.03315439,0.1269102,-717.2356
1,1,900,0.1707854,0.17692097,0.30413246,-0.16073158,0.032923028,0.122830786,-722.684
1,1,925,0.16408293,0.1777036,0.3101302,-0.13102561,0.032754377,0.12239073,-713.5508
1,1,950,0.16543636,0.17971458,0.31502226,-0.10700191,0.03239621,0.12237006,-709.54675
1,1,975,0.1656112,0.18176642,0.32286245,-0.08807736,0.03206874,0.12284333,-715.64026
1,1,1000,0.16942503,0.18462971,0.328298,-0.064748906,0.03198215,0.121924624,-703.8806
1,1,1025,0.17159109,0.18684962,0.3275745,-0.054595206,0.032528345,0.13136072,-712.105
1,1,1050,0.17188367,0.18888898,0.3280164,-0.03757694,0.03213962,0.12620045,-711.2898
1,1,1075,0.18205976,0.19179612,0.32972148,-0.025976425,0.031721413,0.120119564,-701.15656
1,1,1100,0.18537529,0.19651517,0.33587438,-0.019688776,0.031928346,0.11994987,-717.22815
1,1,1125,0.2013834,0.20277464,0.34740824,-0.013883328,0.032079246,0.1195792,-691.71436
1,1,1150,0.20958483,0.2108137,0.36425433,-0.0106145935,0.032222502,0.11575676,-697.16364
1,1,1175,0.21635364,0.21815744,0.38870627,-0.014679429,0.032687575,0.11334806,-688.867
1,1,1200,0.24040851,0.22495808,0.41929835,-0.024047645,0.033503063,0.11881438,-658.8088
1,1,1225,0.24325621,0.23239769,0.45193565,-0.01765577,0.03361972,0.11604531,-687.9276
1,1,1250,0.25746384,0.23762473,0.47853228,-0.0007238871,0.034026418,0.11827226,-662.4113
1,1,1275,0.30392134,0.24826518,0.5046778,0.005596255,0.034347143,0.12895867,-634.8405
1,1,1300,0.2544639,0.2654542,0.53460336,0.011825589,0.03434507,0.14118747,-655.18915
1,1,1325,0.2859177,0.27556723,0.55010206,0.06045684,0.03272507,0.13503121,-635.7835
1,1,1350,0.2916074,0.28347516,0.56884485,0.08069432,0.032479186,0.13078249,-636.69745
1,1,1375,0.2538334,0.28852397,0.58116496,0.100862786,0.032386284,0.13330516,-673.6972
1,1,1400,0.24989636,0.28616488,0.58135575,0.13928084,0.032016672,0.12896863,-666.5162
1,1,1425,0.2626011,0.28439027,0.5788584,0.16476712,0.032149434,0.13235906,-679.9243
1,1,1450,0.21508871,0.28378674,0.6025202,0.20571817,0.030914988,0.10846827,-685.01227
1,1,1475,0.21686147,0.27897504,0.61691767,0.29736474,0.029522432,0.093647696,-700.2491
1,1,1500,0.19695221,0.26427662,0.6100931,0.36137766,0.029752731,0.08729712,-711.6269
1,1,1525,0.2847429,0.24946056,0.6001494,0.3976483,0.030980289,0.08552525,-608.4635
1,1,1550,0.20143919,0.24195132,0.61227936,0.39001256,0.03292591,0.092051566,-716.6588
1,1,1575,0.23371102,0.23614348,0.61193746,0.39306164,0.03274284,0.09130315,-699.5547
1,1,1600,0.22077826,0.23300374,0.60874957,0.3927288,0.03258731,0.093301564,-704.58136
1,1,1625,0.24114253,0.23283894,0.5991837,0.39295727,0.03195502,0.09232411,-702.5048
1,1,1650,0.20927167,0.23164603,0.5906222,0.39907044,0.031567574,0.09198013,-727.01654
1,1,1675,0.18914516,0.2307188,0.57856405,0.3982791,0.031081757,0.08898832,-723.32874
1,1,1700,0.19405891,0.22681816,0.559445,0.42986572,0.030585183,0.08881806,-732.6561
1,1,1725,0.18468598,0.22335525,0.5337594,0.4485529,0.030440418,0.08684945,-731.61395
1,1,1750,0.18210496,0.21848786,0.5175871,0.46208254,0.030615821,0.088221006,-741.4746
1,1,1775,0.1840223,0.21521203,0.4987997,0.46435148,0.03066461,0.08700496,-730.45123
1,1,1800,0.17934507,0.2127683,0.4837308,0.44866347,0.031081295,0.08879243,-724.97845
1,1,1825,0.18830891,0.21134257,0.47316557,0.42857286,0.031031255,0.090126686,-730.3274
1,1,1850,0.18816757,0.21175367,0.46415478,0.39606556,0.030999705,0.09077965,-732.22
1,1,1875,0.1797202,0.21109444,0.45935503,0.37190738,0.030950472,0.0920445,-736.2524
1,1,1900,0.18099132,0.21014749,0.45264003,0.36037993,0.030662414,0.09197285,-728.10516
1,1,1925,0.18152325,0.20884852,0.44767758,0.3558836,0.030455105,0.0921268,-737.2488
1,1,1950,0.18226899,0.20995268,0.4470188,0.32476714,0.030865634,0.09240921,-728.43097
1,1,1975,0.18349177,0.21077895,0.44708437,0.29977357,0.031070547,0.09331829,-728.368
1,1,2000,0.18362701,0.20953591,0.4491407,0.30322114,0.030742181,0.094406515,-732.47235
