outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,0,0.5231159,0.1243871,0.14878525,-0.071032204,0.12411263,2480.188
1,1,25,0.18929358,0.38582513,0.34779575,0.45792025,0.24065706,-436.00363
1,1,50,0.19880739,0.33230716,0.16489209,0.78416145,0.17442016,-521.757
1,1,75,0.19792043,0.26034462,0.29309025,0.9206518,0.107205294,-621.6441
1,1,100,0.19508223,0.323671,0.30825585,0.94444925,0.07245022,-682.81757
1,1,125,0.22855003,0.3861971,0.36974248,0.7468679,0.057311684,-672.9114
1,1,150,0.19547056,0.36088765,0.40184334,0.7938873,0.048243083,-688.9432
1,1,175,0.24713671,0.3860385,0.3793657,0.4155377,0.050652817,-588.0343
1,1,200,0.1910172,0.25571227,0.24356669,0.8084339,0.06388435,-711.0387
1,1,225,0.20759447,0.31130674,0.2976173,0.32918456,0.051959462,-707.5479
1,1,250,0.1798261,0.28240743,0.28691623,0.71802205,0.03783058,-784.288
1,1,275,0.17981684,0.28275546,0.24919848,0.6558181,0.029952666,-801.6154
1,1,300,0.17740253,0.2845893,0.26408687,0.63108826,0.029316276,-808.6274
1,1,325,0.17778364,0.28726324,0.2582643,0.62197304,0.028190635,-821.70026
1,1,350,0.17801106,0.29534274,0.23856144,0.5803214,0.025796497,-839.49146
1,1,375,0.17954245,0.30113873,0.23038702,0.5671637,0.023588859,-843.4816
1,1,400,0.1796541,0.2982534,0.22793429,0.5716972,0.02353693,-845.4685
1,1,425,0.1775607,0.29833576,0.22557342,0.56933475,0.023648819,-844.08575
1,1,450,0.17840755,0.29735363,0.224944,0.56766856,0.02358979,-844.0818
1,1,475,0.1776333,0.29661205,0.22502615,0.56879294,0.023635546,-845.1098
1,1,500,0.17729095,0.29472265,0.22435446,0.5709242,0.023630772,-845.5261
1,1,525,0.17664164,0.29468882,0.22418757,0.5689386,0.023653591,-846.49225
1,1,550,0.17655095,0.29460987,0.22248568,0.5684102,0.023709007,-845.17566
1,1,575,0.1757,0.29554388,0.22121125,0.56747735,0.023627745,-844.18494
1,1,600,0.17611866,0.2955712,0.22140627,0.5651697,0.023652544,-844.37225
1,1,625,0.17688479,0.29304525,0.2216378,0.5692469,0.023697948,-843.9259
1,1,650,0.17715172,0.29376373,0.221307,0.5637108,0.023717156,-845.55023
1,1,675,0.1765522,0.2937649,0.22218542,0.5672942,0.023652194,-843.74536
1,1,700,0.17674243,0.29415357,0.220982,0.5678545,0.023705747,-845.44073
1,1,725,0.17681545,0.29468092,0.22054705,0.5646416,0.023638107,-843.6754
1,1,750,0.17651857,0.2934656,0.2199111,0.5740809,0.023684327,-844.1922
1,1,775,0.17668349,0.29466617,0.2215529,0.5696598,0.023642763,-844.62964
1,1,800,0.1750871,0.2954124,0.22188458,0.5693221,0.023652194,-844.772
1,1,825,0.17498443,0.29371607,0.22199944,0.56853175,0.023676876,-844.225
1,1,850,0.17662689,0.2922299,0.22178899,0.5649585,0.023651263,-845.39526
1,1,875,0.17529748,0.29165602,0.2206398,0.5656739,0.02366407,-846.4632
1,1,900,0.17444675,0.2911955,0.22175595,0.55969167,0.02359759,-846.86926
1,1,925,0.17150843,0.28857827,0.22168413,0.55884707,0.02361261,-846.9824
1,1,950,0.16973475,0.28671488,0.22125903,0.55548865,0.02353495,-847.72156
1,1,975,0.16967073,0.28638655,0.22198091,0.5510122,0.023525052,-847.67535
1,1,1000,0.17014718,0.28680715,0.22261155,0.5567201,0.023482552,-847.6359
1,2,0,0.44622982,0.10096626,0.059784587,0.14171708,0.11399572,4107.4414
1,2,25,0.16757844,0.29019699,0.2313765,0.65940154,0.21953855,-444.00623
1,2,50,0.1430263,0.29517922,0.18632506,0.8668369,0.17906398,-523.03345
1,2,75,0.14454007,0.2685675,0.19186343,0.9268211,0.12577954,-594.1498
1,2,100,0.15778868,0.3084219,0.21165547,0.9381946,0.091423914,-650.0695
1,2,125,0.16690296,0.35063317,0.24308462,0.80338335,0.07119751,-683.09644
1,2,150,0.1591286,0.34527653,0.23729841,0.5800828,0.05525417,-712.63153
1,2,175,0.15492697,0.33347344,0.23452747,0.46935135,0.045272373,-731.25214
1,2,200,0.15250878,0.31631792,0.22818501,0.42992008,0.04098296,-739.15125
1,2,225,0.15237541,0.3061721,0.22290748,0.41824737,0.04003097,-744.0265
1,2,250,0.15231206,0.30214348,0.21997797,0.4184439,0.04006132,-743.43604
1,2,275,0.15253924,0.30261534,0.21730052,0.41004154,0.040150307,-743.55634
1,2,300,0.15252914,0.3019578,0.2164684,0.41140673,0.040131297,-743.97955
1,2,325,0.15311258,0.30242518,0.21580803,0.40616423,0.039954003,-743.6722
1,2,350,0.15290403,0.3025012,0.21384966,0.4055611,0.03987279,-744.57263
1,2,375,0.15275429,0.30212998,0.21399029,0.40447834,0.03981162,-744.9583
1,2,400,0.15366325,0.30153182,0.2137869,0.4007277,0.039714355,-746.18097
1,2,425,0.15308857,0.3018812,0.2125691,0.40515563,0.039714355,-743.7992
1,2,450,0.15296191,0.30232394,0.21216036,0.40224433,0.0396699,-744.1419
1,2,475,0.15336704,0.30178538,0.21183999,0.40123433,0.039611697,-743.55676
1,2,500,0.1535222,0.30082694,0.21208052,0.4037478,0.039663944,-743.6912
1,2,525,0.15341482,0.30147555,0.21166888,0.4065843,0.03956518,-744.05914
1,2,550,0.15357776,0.3015981,0.21149667,0.40355924,0.039587177,-743.83813
1,2,575,0.15409641,0.30089894,0.2117089,0.4047112,0.039679296,-744.13245
1,2,600,0.15463121,0.3014617,0.21139053,0.40687704,0.039595313,-745.5548
1,2,625,0.15432276,0.30188543,0.21067041,0.4033762,0.039605398,-745.3977
1,2,650,0.15486345,0.30180582,0.2106822,0.40463465,0.039610665,-745.12915
1,2,675,0.15405478,0.3016109,0.21033645,0.4053697,0.039510865,-743.35284
1,2,700,0.15494812,0.30117258,0.209612,0.40266004,0.03957423,-745.7693
1,2,725,0.15505631,0.30116147,0.21017839,0.40569395,0.039623614,-745.6168
1,2,750,0.15516432,0.3011006,0.20983894,0.4018381,0.039577898,-745.85736
1,2,775,0.15512867,0.30131865,0.21001637,0.40947974,0.03957549,-744.42487
1,2,800,0.15543264,0.30131698,0.20975108,0.40251502,0.039580874,-745.54016
1,2,825,0.15618117,0.30068803,0.20969832,0.4035247,0.03958901,-744.6263
1,2,850,0.15568443,0.30018505,0.20932911,0.4063461,0.039647102,-745.05334
1,2,875,0.15631638,0.2983355,0.209739,0.41095236,0.03962648,-745.67554
1,2,900,0.15688919,0.29535818,0.20928386,0.40652955,0.039726842,-746.76483
1,2,925,0.15670882,0.2878608,0.20803499,0.41595554,0.04002742,-748.5295
1,2,950,0.16056989,0.28047627,0.2070705,0.4304197,0.040468387,-749.1164
1,2,975,0.15629087,0.27631682,0.20714715,0.42224982,0.040833514,-751.34534
1,2,1000,0.15758543,0.27889666,0.20824061,0.42402166,0.040992115,-750.6891
1,3,0,0.4311251,0.14195411,0.1511606,-0.27944148,0.08416281,6502.6855
1,3,25,0.24580687,0.37411577,0.3384793,-0.06532711,0.15410864,-502.8785
1,3,50,0.2156337,0.38773245,0.24382232,0.19340098,0.13879046,-559.9838
