outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,1,0,0.5906522,0.09655484,0.09930645,-0.041493397,0.079830565,0.10058623,4528.477
1,1,25,0.2757132,0.33093333,0.28420743,-0.4430173,0.15531349,0.33025223,-5.6064444
1,1,50,0.22757189,0.313997,0.2417675,-0.53487885,0.14652234,0.25978717,-61.08768
1,1,75,0.20921315,0.2763774,0.21644104,-0.35983425,0.12236774,0.16124396,-97.91009
1,1,100,0.20681067,0.2693208,0.19860736,-0.17622167,0.10015967,0.115594186,-122.88754
1,1,125,0.1934113,0.26884732,0.18681245,0.18585443,0.08142718,0.0953568,-148.37616
1,1,150,0.19677249,0.28242522,0.18950462,0.5527288,0.06531176,0.080474004,-174.26056
1,1,175,0.18161397,0.29411644,0.19808814,0.765351,0.05219642,0.067896865,-195.17462
1,1,200,0.19392857,0.2970629,0.20317128,0.80257905,0.042542353,0.061721306,-202.29807
1,1,225,0.17905448,0.29094577,0.20615949,0.8071011,0.037150025,0.06927318,-216.60529
1,1,250,0.17753832,0.28954574,0.20474362,0.7566106,0.03241906,0.068019494,-222.06868
1,1,275,0.18634284,0.2862519,0.21237814,0.68889415,0.028868396,0.06799377,-233.81346
1,1,300,0.17458355,0.2868985,0.20885065,0.6700239,0.025955178,0.06392136,-236.0188
1,1,325,0.19311486,0.28525075,0.21070248,0.6726763,0.023680717,0.060190212,-232.45792
1,1,350,0.18602405,0.28977624,0.20929033,0.6781331,0.02342887,0.068733566,-234.79831
1,1,375,0.16946408,0.28197807,0.21867602,0.64790237,0.022588689,0.06339922,-238.37196
1,1,400,0.17863919,0.28876343,0.2088642,0.660645,0.022418866,0.065792054,-236.02571
1,1,425,0.17970376,0.28983983,0.212572,0.65550494,0.02201733,0.061487943,-240.49246
1,1,450,0.18945728,0.2878651,0.21162923,0.647733,0.021912023,0.06159914,-237.00795
1,1,475,0.18361858,0.29198635,0.2154257,0.6644331,0.021535601,0.05702538,-228.57822
1,1,500,0.18132418,0.29551825,0.21878982,0.66110337,0.021509934,0.059382617,-237.75293
1,1,525,0.18214007,0.2997083,0.22314394,0.6785351,0.021359531,0.05328283,-242.7945
1,1,550,0.17770807,0.29481816,0.22678985,0.64967024,0.021775212,0.053783063,-234.22864
1,1,575,0.17657532,0.29545417,0.2226563,0.6235072,0.022065258,0.054849017,-238.9347
1,1,600,0.18421157,0.28666225,0.22053385,0.65889513,0.0220775,0.056976173,-241.91576
1,1,625,0.1777496,0.2842705,0.22010396,0.6748786,0.021935347,0.056996215,-239.45891
1,1,650,0.18735538,0.28914616,0.22681408,0.64514816,0.021755965,0.053984463,-222.0782
1,1,675,0.17611411,0.2900887,0.22947304,0.64811456,0.021394888,0.04680701,-242.18939
1,1,700,0.17622034,0.29459834,0.23150095,0.6618688,0.02115717,0.045671627,-235.18524
1,1,725,0.17781371,0.28800365,0.23056974,0.6334411,0.021477966,0.044933137,-239.75235
1,1,750,0.18105908,0.29451454,0.2304496,0.63309836,0.021409007,0.04526793,-244.87865
1,1,775,0.17691442,0.2911721,0.23444797,0.64063925,0.021320207,0.043939725,-241.72006
1,1,800,0.17326155,0.29447857,0.22177696,0.6512866,0.02199459,0.0506629,-240.22859
1,1,825,0.1795735,0.28980175,0.22759719,0.6244637,0.02260652,0.058905073,-240.12663
1,1,850,0.18062833,0.29617667,0.2260448,0.6735847,0.021639898,0.05493173,-233.06514
1,1,875,0.18532155,0.28702018,0.22176856,0.64493537,0.021301186,0.049767837,-200.48859
1,1,900,0.18688925,0.29361182,0.22426692,0.66503125,0.021570135,0.051170334,-240.0408
1,1,925,0.17866051,0.29186162,0.2251892,0.6142154,0.02099656,0.046255473,-242.5172
1,1,950,0.18498863,0.2900021,0.23155004,0.6056316,0.020731308,0.04120366,-241.57132
1,1,975,0.17442088,0.28949043,0.23735249,0.64564157,0.021093093,0.04150665,-242.2876
1,1,1000,0.17803164,0.2834221,0.23133175,0.65198934,0.021151919,0.04128339,-242.75374
1,2,0,0.4768493,0.10847201,0.09684736,0.038296577,0.14913261,0.11659586,1557.4482
1,2,25,0.16406892,0.27075157,0.25574818,-0.23854335,0.21152157,0.19618025,0.47583556
1,2,50,0.1718205,0.22760536,0.21631765,-0.23080496,0.12039861,0.07130442,-105.685036
1,2,75,0.1781839,0.26838613,0.21135415,0.32878476,0.07088051,0.07170961,-150.5173
1,2,100,0.16922912,0.32004875,0.23395374,0.6818973,0.044752136,0.07945298,-165.92131
1,2,125,0.1735253,0.3385258,0.24741088,0.8080486,0.033870168,0.08729133,-167.78105
1,2,150,0.17628033,0.34828007,0.2500855,0.8178083,0.031759985,0.08643591,-190.18292
1,2,175,0.16574563,0.35620648,0.252005,0.82051563,0.030661488,0.0901647,-184.06476
1,2,200,0.16623615,0.35319152,0.2453443,0.79191035,0.030193623,0.08484344,-194.5994
1,2,225,0.17061204,0.3413789,0.23533218,0.7916024,0.031343583,0.097153425,-182.77594
1,2,250,0.1703094,0.3365451,0.22664854,0.7726792,0.03137605,0.08834946,-195.0668
1,2,275,0.16357484,0.32422644,0.21881013,0.78198576,0.030438568,0.091419995,-195.32613
1,2,300,0.1639876,0.32702458,0.21052189,0.70338225,0.0299485,0.08250163,-199.7411
1,2,325,0.1603034,0.31021175,0.2003634,0.7371916,0.03087257,0.090404,-200.56001
1,2,350,0.15860848,0.3068656,0.18276416,0.75631744,0.03030766,0.08796536,-202.27917
1,2,375,0.15822181,0.2975893,0.17599586,0.68394685,0.030304076,0.0885438,-202.00049
1,2,400,0.15995543,0.28346232,0.17369577,0.6778171,0.030473143,0.0833681,-202.08385
1,2,425,0.16107439,0.29016355,0.16980761,0.6978979,0.03106003,0.097754255,-204.8272
1,2,450,0.15649724,0.2848126,0.1647644,0.6765555,0.03075929,0.094754964,-204.72612
1,2,475,0.15759604,0.29421523,0.15467642,0.64757717,0.03150208,0.09821101,-204.47214
1,2,500,0.1591588,0.276615,0.15732674,0.6903447,0.030422727,0.094572894,-205.76859
1,2,525,0.15956584,0.2812059,0.15241791,0.712566,0.030577669,0.09525233,-202.52177
1,2,550,0.1618155,0.28274137,0.14811204,0.6647763,0.030167598,0.0917658,-202.51202
1,2,575,0.16147698,0.28053787,0.16054417,0.63544405,0.030521708,0.08755731,-204.95465
1,2,600,0.15904693,0.2810425,0.15666202,0.7185172,0.031015422,0.08797552,-201.33188
1,2,625,0.1646303,0.29296094,0.14229558,0.74934417,0.030252956,0.09546354,-205.46352
1,2,650,0.16098012,0.2759013,0.13903427,0.7788358,0.030349294,0.09250822,-205.30795
1,2,675,0.16143848,0.28642112,0.12944266,0.72974485,0.03136877,0.10461377,-200.526
1,2,700,0.15976116,0.2642639,0.14639723,0.74729764,0.03134439,0.10142134,-204.26393
1,2,725,0.16567788,0.28842667,0.15313038,0.7453799,0.030742297,0.099199794,-205.98485
1,2,750,0.1640098,0.27126965,0.1604606,0.72837055,0.030582987,0.09092856,-203.59831
1,2,775,0.16260535,0.28456113,0.14305124,0.6677839,0.030666923,0.09823889,-200.10957
1,2,800,0.16319664,0.26933798,0.14571758,0.73925763,0.03070357,0.09623127,-207.09894
1,2,825,0.16300592,0.2772543,0.14333782,0.7653785,0.030754318,0.09819545,-203.80621
1,2,850,0.16551085,0.26704505,0.14249016,0.72576904,0.030568996,0.09449057,-204.37437
1,2,875,0.16289797,0.27735764,0.16227119,0.64570713,0.030539976,0.09128672,-201.85403
1,2,900,0.16702999,0.27625486,0.15515916,0.6413346,0.030468287,0.090707466,-198.54674
1,2,925,0.16354644,0.27694166,0.15198189,0.67989564,0.030081654,0.09244921,-205.01996
1,2,950,0.16660035,0.27463433,0.15341806,0.68702376,0.030835005,0.09431528,-203.27867
