outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,1,0,0.7720323,0.08570877,0.050080832,0.019067114,0.1141777,0.11977085,16319.609
1,1,25,0.34094027,0.4202016,0.17579989,0.5491527,0.21280569,0.3246371,-619.2462
1,1,50,0.34457347,0.6070829,0.19457975,0.65718096,0.19859602,0.19787191,-820.8009
1,1,75,0.34186664,0.68536663,0.22580962,0.70955634,0.16534679,0.11016123,-952.3996
1,1,100,0.33000106,0.62979066,0.33981073,0.72988045,0.13605355,0.07372063,-1100.9572
1,1,125,0.36065328,0.5324519,0.34432226,0.8052097,0.116470024,0.06337449,-1143.9631
1,1,150,0.3594199,0.43451875,0.3167003,0.812117,0.10392595,0.06562953,-1155.1204
1,1,175,0.32551637,0.3969883,0.2879048,0.7865528,0.09431398,0.07478978,-1183.4373
1,1,200,0.33150992,0.3933639,0.27645987,0.76114583,0.085539915,0.08536382,-1207.6704
1,1,225,0.3032315,0.37551033,0.2640845,0.75721216,0.077087454,0.09325411,-1193.2661
1,1,250,0.291535,0.3666484,0.25001848,0.72736263,0.069689654,0.10269992,-1237.2896
1,1,275,0.27861482,0.34422567,0.23750648,0.7094344,0.06298952,0.10837404,-1224.595
1,1,300,0.27095547,0.32957652,0.2315873,0.6865686,0.057306282,0.11639638,-1271.8628
1,1,325,0.26505268,0.31785855,0.22191456,0.6710167,0.052288856,0.12101796,-1259.8313
1,1,350,0.26944843,0.31589115,0.2225249,0.65510356,0.048110053,0.12726882,-1286.9055
1,1,375,0.27074447,0.31366107,0.21780908,0.6421921,0.04456255,0.13321419,-1293.7327
1,1,400,0.28082404,0.31372133,0.2179156,0.62836975,0.041512482,0.13529071,-1291.9335
1,1,425,0.26743242,0.30897364,0.21712448,0.6365359,0.03898796,0.137811,-1301.4083
1,1,450,0.26988783,0.31170273,0.20968439,0.6418835,0.03690488,0.14175612,-1288.9392
1,1,475,0.26255673,0.30798754,0.21245064,0.6360324,0.03514091,0.14096686,-1304.1052
1,1,500,0.2660901,0.3038745,0.21012855,0.6438313,0.033706516,0.14313854,-1307.8435
1,1,525,0.27149683,0.3057482,0.20761208,0.64111096,0.032501917,0.14723016,-1308.8468
1,1,550,0.27694923,0.30309704,0.2044413,0.6338494,0.03150358,0.14766425,-1306.2097
1,1,575,0.27674067,0.30274448,0.20379852,0.64930195,0.03066727,0.1473351,-1312.7771
1,1,600,0.27752447,0.30055547,0.2082681,0.6245363,0.030031681,0.14860998,-1310.6305
1,1,625,0.27688807,0.29941225,0.20648459,0.6206589,0.02950264,0.14810649,-1318.2053
1,1,650,0.28093985,0.29752213,0.20286651,0.62661326,0.02909074,0.14895207,-1328.3038
1,1,675,0.28592765,0.2977252,0.19986922,0.63899493,0.028758246,0.14877199,-1321.3809
1,1,700,0.28419212,0.30187705,0.1983753,0.62598765,0.028523548,0.15021986,-1319.6859
1,1,725,0.29558465,0.29936755,0.19811757,0.6332654,0.028307915,0.1505859,-1317.2549
1,1,750,0.2877899,0.30213133,0.2033778,0.62723136,0.028121212,0.14747295,-1326.9584
1,1,775,0.297319,0.3006603,0.19959986,0.64237916,0.028018748,0.14858213,-1322.4629
1,1,800,0.29355735,0.31499425,0.20347965,0.6025429,0.028023385,0.15328696,-1311.6372
1,1,825,0.28820062,0.30418637,0.19771002,0.63756764,0.027911289,0.14884822,-1325.3024
1,1,850,0.3000258,0.3103754,0.19993764,0.627759,0.027893784,0.14903732,-1317.2786
1,1,875,0.29246476,0.30566677,0.19457111,0.64653593,0.02787477,0.15166757,-1330.9297
1,1,900,0.29935676,0.30777594,0.20167255,0.6371139,0.027808338,0.14879715,-1313.7983
1,1,925,0.3039419,0.30796704,0.20445888,0.62617826,0.027793847,0.14815244,-1326.6852
1,1,950,0.2990802,0.3078026,0.20059411,0.6186682,0.027783759,0.1520162,-1327.5359
1,1,975,0.2948293,0.30319372,0.20135173,0.6259299,0.02776347,0.15077908,-1326.023
1,1,1000,0.29394338,0.30697978,0.19602506,0.64513063,0.027735759,0.15288138,-1323.9946
