outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,0,0.7942045,0.058251534,0.10350243,-0.116270304,0.0942286,21880.012
1,1,25,0.38706937,0.27333644,0.45356736,0.20920862,0.27793968,180.6497
1,1,50,0.3881578,0.39778045,0.5028339,0.36198568,0.30621135,102.82655
1,1,75,0.40052307,0.4135481,0.4057724,0.49981803,0.28920498,55.398834
1,1,100,0.40736622,0.40843213,0.3600374,0.5448074,0.26712027,18.95646
1,1,125,0.4111399,0.40869966,0.32055333,0.5714699,0.24569578,-10.696244
1,1,150,0.41886643,0.41003048,0.29778025,0.5844149,0.22666727,-27.509102
1,1,175,0.4077342,0.41270095,0.2854255,0.62022114,0.21069726,-40.220932
1,1,200,0.41851392,0.4142806,0.28132665,0.6362475,0.19791396,-52.203217
1,1,225,0.40983248,0.4168075,0.27839234,0.6288862,0.18824235,-58.478794
1,1,250,0.40770236,0.4125072,0.28294995,0.6704719,0.18128274,-61.98958
1,1,275,0.39943597,0.40985444,0.2823941,0.66335034,0.17695263,-63.695038
1,1,300,0.40244943,0.4047702,0.2835267,0.6720879,0.17417061,-62.875195
1,1,325,0.40349883,0.4038829,0.2885729,0.6587275,0.1721866,-64.29405
1,1,350,0.38654846,0.40033248,0.29025897,0.6814914,0.1711483,-62.025944
1,1,375,0.37480253,0.3965153,0.28785026,0.70440805,0.17066911,-64.53494
1,1,400,0.36567476,0.39059323,0.28779206,0.7021537,0.17031698,-68.83755
1,1,425,0.37203676,0.38737586,0.28393772,0.7115759,0.17039791,-61.864983
1,1,450,0.3677798,0.38236672,0.28905937,0.73811346,0.17022769,-70.317055
1,1,475,0.3679609,0.3835886,0.284828,0.74269307,0.16977774,-72.030106
1,1,500,0.35375112,0.38077497,0.2869489,0.7408823,0.1698393,-72.31157
1,1,525,0.3508932,0.37910086,0.28479224,0.75902486,0.16951373,-70.1432
1,1,550,0.33332962,0.3763526,0.29415733,0.77857715,0.1701211,-73.39413
1,1,575,0.33790636,0.379658,0.28202948,0.754354,0.17016695,-72.15764
1,1,600,0.33812553,0.37160692,0.29196367,0.77770865,0.16980097,-72.37336
1,1,625,0.3406247,0.37220636,0.28181702,0.7772421,0.17017682,-75.24871
1,1,650,0.3204619,0.3693613,0.28350487,0.7696783,0.17091784,-73.43928
1,1,675,0.31541556,0.37123623,0.27326152,0.753174,0.17108291,-75.20985
1,1,700,0.30584565,0.3666666,0.28044558,0.77919513,0.17077273,-74.83688
1,1,725,0.31631756,0.3625197,0.2779712,0.7456553,0.17028561,-63.061573
1,1,750,0.3116582,0.3575486,0.26853275,0.73475415,0.17045632,-71.29153
1,1,775,0.30533803,0.35303625,0.27854106,0.7312472,0.16976848,-77.9338
1,1,800,0.29897466,0.35147762,0.26637444,0.7022305,0.17013739,-61.57542
1,1,825,0.29299337,0.34919244,0.25543004,0.7158896,0.1709954,-77.96708
1,1,850,0.29241058,0.34194535,0.2630411,0.73457485,0.1707453,-78.02854
1,1,875,0.28551504,0.33624732,0.2557132,0.7227509,0.17067032,-79.582794
1,1,900,0.28888497,0.32888135,0.26904264,0.7215762,0.17096114,-79.24398
1,1,925,0.2768844,0.33043945,0.25042698,0.7182455,0.17327152,-73.671585
1,1,950,0.2600576,0.32041636,0.25151253,0.7042402,0.17316847,-80.74774
1,1,975,0.2797116,0.31428984,0.2589952,0.70447505,0.17232668,-82.0786
1,1,1000,0.2625169,0.31271282,0.25175723,0.6993954,0.17087634,-83.92758
1,2,0,0.625743,0.087992325,0.10071612,0.0051843207,0.05310367,60352.8
1,2,25,0.33293384,0.46940213,0.46490407,0.31329995,0.1512806,342.4262
1,2,50,0.30998376,0.6859066,0.572131,0.17523266,0.17593047,31.356834
1,2,75,0.3087779,0.6809283,0.4769688,0.33432528,0.17851566,-7.8719354
1,2,100,0.3100742,0.6515774,0.41191834,0.32231396,0.17788942,-29.821508
1,2,125,0.30994853,0.62487465,0.38790762,0.29437724,0.17675605,-31.488903
1,2,150,0.31317773,0.6030272,0.37534893,0.3315826,0.17558889,-37.731487
1,2,175,0.3181548,0.5839722,0.36732748,0.35631943,0.17447944,-42.11708
1,2,200,0.32674396,0.56343126,0.3582382,0.41667527,0.17334992,-52.877735
1,2,225,0.3291372,0.54647636,0.35312998,0.4571809,0.17208223,-56.901993
1,2,250,0.34234896,0.5266279,0.3467087,0.51748025,0.1707468,-64.75244
1,2,275,0.3607973,0.5081242,0.33461553,0.5677733,0.16932736,-70.22696
1,2,300,0.3770444,0.48843452,0.32847562,0.5935566,0.16778336,-78.40494
1,2,325,0.38982606,0.4750864,0.31313702,0.62130666,0.16612037,-82.11239
1,2,350,0.41334775,0.4618637,0.31046453,0.6145289,0.16461082,-83.81619
1,2,375,0.42160326,0.451664,0.3052943,0.6332227,0.16322893,-83.96757
1,2,400,0.45380822,0.4431647,0.3010648,0.6201787,0.16203958,-88.87039
1,2,425,0.47773498,0.43355927,0.302519,0.62163264,0.16096492,-86.4697
1,2,450,0.5048175,0.42317274,0.30147678,0.63038266,0.16009825,-90.70019
1,2,475,0.5141184,0.42282602,0.30193162,0.602687,0.15945011,-91.84858
1,2,500,0.54190797,0.42036346,0.29515207,0.6201308,0.1587392,-93.442345
