fold,replicate,epoch,rmse_typ
1,1,0,0.3361587
1,1,25,0.10960334
1,1,50,0.1022426
1,1,75,0.09453935
1,1,100,0.08139515
1,1,125,0.06651539
1,1,150,0.063908085
1,1,175,0.06314111
1,1,200,0.062746644
1,1,225,0.061978627
1,1,250,0.061899263
1,1,275,0.06189885
1,1,300,0.06185991
1,1,325,0.061815444
1,1,350,0.061773203
1,1,375,0.06173534
1,1,400,0.0617015
1,1,425,0.0616714
1,1,450,0.061644714
1,1,475,0.06162111
1,1,500,0.061600145
1,1,525,0.061581425
1,1,550,0.06156439
1,1,575,0.06154879
1,1,600,0.061533976
1,1,625,0.06151987
1,1,650,0.061506208
1,1,675,0.06149275
1,1,700,0.06147911
1,1,725,0.061465334
1,1,750,0.061451137
1,1,775,0.061436523
1,1,800,0.061421435
1,1,825,0.061405897
1,1,850,0.061390065
1,1,875,0.06137395
1,1,900,0.061357643
1,1,925,0.061341297
1,1,950,0.061325192
1,1,975,0.0613089
1,1,1000,0.061289947
1,1,1025,0.06319702
1,1,1050,0.061235193
1,1,1075,0.061445173
1,1,1100,0.06120976
1,1,1125,0.06121398
1,1,1150,0.061208986
1,1,1175,0.06118815
1,1,1200,0.06126104
1,1,1225,0.06113509
1,1,1250,0.061473247
1,1,1275,0.06113779
1,1,1300,0.06110269
1,1,1325,0.061070126
1,1,1350,0.06096491
1,1,1375,0.0607118
1,1,1400,0.063202955
1,1,1425,0.062467456
1,1,1450,0.06245233
1,1,1475,0.062373277
1,1,1500,0.062411394
1,1,1525,0.062403347
1,1,1550,0.06764679
1,1,1575,0.06228767
1,1,1600,0.06261388
1,1,1625,0.06257973
1,1,1650,0.062533125
1,1,1675,0.06452276
1,1,1700,0.062338885
1,1,1725,0.061455164
1,1,1750,0.062164944
1,1,1775,0.06182991
1,1,1800,0.061337557
1,1,1825,0.0616131
1,1,1850,0.06142714
1,1,1875,0.062231433
1,1,1900,0.061992034
1,1,1925,0.061873995
1,1,1950,0.062398233
1,1,1975,0.061966795
1,1,2000,0.061789237
1,2,0,0.31573215
1,2,25,0.09791437
1,2,50,0.081632085
1,2,75,0.06760326
1,2,100,0.06501498
1,2,125,0.06323439
1,2,150,0.06255363
1,2,175,0.062294852
1,2,200,0.062101033
1,2,225,0.062025096
1,2,250,0.06198144
1,2,275,0.061948918
1,2,300,0.06193679
1,2,325,0.061951593
1,2,350,0.061975103
1,2,375,0.061981894
1,2,400,0.061977852
1,2,425,0.06197614
1,2,450,0.061978582
1,2,475,0.061982956
1,2,500,0.061988186
1,2,525,0.061993837
1,2,550,0.061999533
1,2,575,0.062005002
1,2,600,0.062009998
1,2,625,0.0620145
1,2,650,0.062018372
1,2,675,0.06202164
1,2,700,0.062026117
1,2,725,0.06262026
1,2,750,0.06183649
1,2,775,0.061971687
1,2,800,0.06205282
1,2,825,0.062029783
1,2,850,0.062033992
1,2,875,0.062030617
1,2,900,0.06187005
1,2,925,0.06254761
1,2,950,0.062032007
1,2,975,0.061993957
1,2,1000,0.06202132
1,2,1025,0.062033877
1,2,1050,0.06202656
1,2,1075,0.062023714
1,2,1100,0.062020347
1,2,1125,0.06209398
1,2,1150,0.06294615
1,2,1175,0.062023066
1,2,1200,0.061981007
1,2,1225,0.062011372
1,2,1250,0.062024944
1,2,1275,0.062015742
1,2,1300,0.062012557
1,2,1325,0.0620084
1,2,1350,0.062024515
1,2,1375,0.06291482
1,2,1400,0.06187158
1,2,1425,0.061962064
1,2,1450,0.062009647
1,2,1475,0.06201583
1,2,1500,0.062007688
1,2,1525,0.061999705
1,2,1550,0.061996747
1,2,1575,0.061813876
1,2,1600,0.061805792
1,2,1625,0.06196061
1,2,1650,0.061965212
1,2,1675,0.06201442
1,2,1700,0.061993796
1,2,1725,0.06199209
1,2,1750,0.06198597
1,2,1775,0.061997075
1,2,1800,0.06496306
1,2,1825,0.062315244
1,2,1850,0.06204627
1,2,1875,0.06202837
1,2,1900,0.06198412
1,2,1925,0.061982863
1,2,1950,0.061976686
1,2,1975,0.061971784
1,2,2000,0.06200567
1,3,0,0.30259207
1,3,25,0.11347294
1,3,50,0.09791698
1,3,75,0.09015281
1,3,100,0.06354088
1,3,125,0.062451713
1,3,150,0.062459685
1,3,175,0.062419653
1,3,200,0.06235976
1,3,225,0.062303994
1,3,250,0.06227404
1,3,275,0.062248513
1,3,300,0.062215284
1,3,325,0.06210503
1,3,350,0.061937638
1,3,375,0.061957557
1,3,400,0.061938025
1,3,425,0.061917685
1,3,450,0.06148801
1,3,475,0.06095958
1,3,500,0.059926502
1,3,525,0.058848444
1,3,550,0.058418293
1,3,575,0.058389157
1,3,600,0.058536366
1,3,625,0.05883651
1,3,650,0.05840341
1,3,675,0.05846257
1,3,700,0.058478493
1,3,725,0.05849281
1,3,750,0.059828788
1,3,775,0.058574744
1,3,800,0.05861222
1,3,825,0.05860849
1,3,850,0.058594346
1,3,875,0.058583815
1,3,900,0.059045985
1,3,925,0.058879536
1,3,950,0.05862221
1,3,975,0.058658846
1,3,1000,0.058658045
1,3,1025,0.06049348
1,3,1050,0.059068628
1,3,1075,0.058619298
1,3,1100,0.058675308
1,3,1125,0.058711477
1,3,1150,0.058695298
1,3,1175,0.058740005
1,3,1200,0.059069604
1,3,1225,0.05866686
1,3,1250,0.058725998
1,3,1275,0.05872488
1,3,1300,0.05873354
1,3,1325,0.058686037
1,3,1350,0.059295334
1,3,1375,0.058671765
1,3,1400,0.05877757
1,3,1425,0.058759667
1,3,1450,0.05874822
1,3,1475,0.058749754
1,3,1500,0.060696002
1,3,1525,0.059254024
1,3,1550,0.058708206
1,3,1575,0.05878516
1,3,1600,0.058766864
1,3,1625,0.058774266
1,3,1650,0.05875501
1,3,1675,0.058944132
1,3,1700,0.059005693
1,3,1725,0.058762196
1,3,1750,0.058768027
1,3,1775,0.058781985
1,3,1800,0.05878407
1,3,1825,0.058791354
1,3,1850,0.06257164
1,3,1875,0.058968704
1,3,1900,0.058900826
1,3,1925,0.05878249
1,3,1950,0.058806907
1,3,1975,0.05880091
1,3,2000,0.058799114
1,4,0,0.31493524
1,4,25,0.114199616
1,4,50,0.07136582
1,4,75,0.062294055
1,4,100,0.06276508
1,4,125,0.062776156
1,4,150,0.0627486
1,4,175,0.06275066
1,4,200,0.06272891
1,4,225,0.062714666
1,4,250,0.06269995
1,4,275,0.062685385
1,4,300,0.06267081
1,4,325,0.062655754
1,4,350,0.06264051
1,4,375,0.06262479
1,4,400,0.06260876
1,4,425,0.0625927
1,4,450,0.062412504
1,4,475,0.062388033
1,4,500,0.06269422
1,4,525,0.06252645
1,4,550,0.062543
1,4,575,0.06251954
1,4,600,0.06250084
1,4,625,0.062366802
1,4,650,0.06241675
1,4,675,0.062323514
1,4,700,0.062478364
1,4,725,0.06244298
1,4,750,0.062421784
1,4,775,0.06408357
1,4,800,0.06217617
1,4,825,0.062465318
1,4,850,0.06237717
1,4,875,0.062355816
1,4,900,0.063147314
1,4,925,0.062069032
1,4,950,0.062369492
1,4,975,0.0622028
1,4,1000,0.06344025
1,4,1025,0.062944666
1,4,1050,0.062047575
1,4,1075,0.062174555
1,4,1100,0.062538214
1,4,1125,0.061958175
1,4,1150,0.062092427
1,4,1175,0.062034253
1,4,1200,0.06285974
1,4,1225,0.061897814
1,4,1250,0.062094595
1,4,1275,0.062010832
1,4,1300,0.06297986
1,4,1325,0.061853353
1,4,1350,0.061955784
1,4,1375,0.06208724
1,4,1400,0.061993055
1,4,1425,0.062175438
1,4,1450,0.061829433
1,4,1475,0.06215911
1,4,1500,0.06205082
1,4,1525,0.062040962
1,4,1550,0.06203372
1,4,1575,0.06257252
1,4,1600,0.062042937
1,4,1625,0.061945345
1,4,1650,0.062035874
1,4,1675,0.06202853
1,4,1700,0.06203853
1,4,1725,0.06194637
1,4,1750,0.062255733
1,4,1775,0.061937694
1,4,1800,0.062006954
1,4,1825,0.06201756
1,4,1850,0.062038705
1,4,1875,0.06192303
